ubigeo,departamento,provincia,distrito,c1_rows,atenciones_missing_share,atendidos_missing_share,total_emergency_attentions,total_emergency_attended,total_populated_centers,matched_centers,coverage_share,mean_distance_km,median_distance_km,share_over_20km,share_over_30km,q1_territorial_availability_score,q2_settlement_access_score,q2_observed_settlement_access_score,q3_baseline_combined_score,q4_alternative_combined_score,baseline_rank_best_to_worst,alternative_rank_best_to_worst,rank_shift_alt_minus_base,abs_rank_shift,q1_missing_dominant,q1_reported_zero_activity,q2_no_matched_centers,q2_observed_low_access,q4_observed_no_matched_centers,q3_low_score_cause,q3_baseline_level,q4_alternative_level,facility_component,activity_component,distance_component,remote_tail_component,coverage_component,matched_centers_observed,coverage_share_observed,mean_distance_km_observed,median_distance_km_observed,share_over_20km_observed,share_over_30km_observed,distance_component_observed,remote_tail_component_observed
151010,LIMA,YAUYOS,COCHAS,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,53.52355190272343,53.40199078084233,1.0,1.0,0.0,0.1995961904914522,0.22961231004558752,0.0997980952457261,0.11480615502279376,1854,1847,7,7,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0,0.0,0.2851374149877889,0.0,1.0,15.0,1.0,53.52355190272343,53.40199078084233,1.0,1.0,0.32801758577941076,0.0
151031,LIMA,YAUYOS,TUPE,0.0,0.0,0.0,0.0,0.0,39.0,39.0,1.0,70.05651971903475,68.54588713554067,1.0,1.0,0.0319556292752363,0.1677185110054203,0.394599841678895,0.09983707014032829,0.21327773547706566,1853,1536,317,317,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2395978728648862,0.0,1.0,39.0,1.0,34.33857661762549,37.587078908250334,1.0,0.5897435897435898,0.38788988371710276,0.41025641025641024
180202,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,0.0,0.0,0.0,0.0,0.0,112.0,112.0,1.0,79.81351303474696,79.17675657395806,1.0,1.0,0.0506484740881968,0.1492545121223759,0.17646151922190456,0.09995149310528635,0.11355499665505069,1852,1850,2,2,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.2132207316033941,0.0,1.0,112.0,1.0,82.6189345714331,83.09980446901523,1.0,1.0,0.2520878846027208,0.0
151001,LIMA,YAUYOS,YAUYOS,0.0,0.0,0.0,0.0,0.0,71.0,71.0,1.0,76.38611063551157,78.8405047001916,1.0,1.0,0.0506484740881968,0.1498000332196701,0.25702602016852694,0.10022425365393345,0.15383724712836186,1851,1706,145,145,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.1012969481763936,0.0,0.2140000474566715,0.0,1.0,71.0,1.0,43.50770185744154,45.571428281234105,1.0,0.971830985915493,0.3551075942045355,0.028169014084507005
230408,TACNA,TARATA,TICACO,0.0,0.0,0.0,0.0,0.0,36.0,36.0,1.0,66.03236128825185,67.64146710813753,1.0,1.0,0.0319556292752363,0.1694176194637572,0.1872760949220696,0.10068662436949674,0.10961586209865294,1850,1852,-2,2,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2420251706625102,0.0,1.0,36.0,1.0,75.26036486543663,75.96664359273758,1.0,1.0,0.26753727846009945,0.0
151012,LIMA,YAUYOS,HONGOS,0.0,0.0,0.0,0.0,0.0,17.0,17.0,1.0,67.8741425648479,67.55857856101886,1.0,1.0,0.0319556292752363,0.169574458207855,0.3359312722162265,0.10076504374154564,0.1839434507457314,1849,1592,257,257,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2422492260112215,0.0,1.0,17.0,1.0,34.57572252334618,34.12583473006081,1.0,0.8235294117647058,0.4042715653509118,0.17647058823529416
230205,TACNA,CANDARAVE,HUANUARA,0.0,0.0,0.0,0.0,0.0,13.0,13.0,1.0,66.5763432124488,66.96425153171438,1.0,1.0,0.0319556292752363,0.170704607909289,0.20245375423183778,0.10133011859226265,0.11720469175353704,1848,1846,2,2,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2438637255846986,0.0,1.0,13.0,1.0,66.5763432124488,66.96425153171438,1.0,1.0,0.2892196489026254,0.0
230405,TACNA,TARATA,SITAJARA,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,67.23037433122818,66.63496151550017,1.0,1.0,0.0319556292752363,0.1713350355987142,0.2030463664759438,0.10164533243697525,0.11750099787559004,1847,1844,3,3,False,False,False,True,False,Observed low geospatial access,Very low availability,Very low availability,0.0639112585504727,0.0,0.2447643365695917,0.0,1.0,6.0,1.0,67.23037433122818,66.63496151550017,1.0,1.0,0.29006623782277685,0.0
150905,LIMA,OYON,NAVAN,0.0,0.0,0.0,0.0,0.0,24.0,24.0,1.0,65.85286201027242,66.31810262355594,1.0,1.0,0.0319556292752363,0.1719445682562281,0.6531242685705076,0.10195009876573219,0.342539948922872,1846,1238,608,608,False,False,False,True,False,Observed low geospatial access,Very low availability,Low availability,0.0639112585504727,0.0,0.2456350975088973,0.0,1.0,24.0,1.0,19.147823155232164,18.76957449340842,0.4166666666666667,0.0,0.5044632408150109,1.0
040802,AREQUIPA,LA UNION,ALCA,2.0,1.0,1.0,0.0,0.0,19.0,19.0,1.0,66.53135152053743,65.7945271757755,1.0,1.0,0.0319556292752363,0.1729580707750058,0.2045720458428542,0.10245685002512105,0.11826383755904525,1845,1841,4,4,True,False,False,True,False,Missing-dominant activity,Very low availability,Very low availability,0.0639112585504727,0.0,0.2470829582500083,0.0,1.0,19.0,1.0,66.53135152053743,65.7945271757755,1.0,1.0,0.29224577977550603,0.0
