ubigeo,departamento,provincia,distrito,total_facilities,emergency_proxy_facilities,facilities_missing_coords,c1_rows,reporting_ipress_count,total_emergency_attentions,total_emergency_attended,atenciones_missing_rows,atendidos_missing_rows,atenciones_zero_rows,atendidos_zero_rows,atenciones_missing_share,atendidos_missing_share,atenciones_zero_share,atendidos_zero_share,activity_quality_tag,facility_component,activity_component,q1_territorial_availability_score,availability_level,rank_best_to_worst,rank_worst_to_best
130202,LA LIBERTAD,ASCOPE,CHICAMA,5.0,1.0,3.0,62.0,1.0,483.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.25363409850986784,0.5271983166966182,0.390416207603243,Very high availability,259,285
160606,LORETO,UCAYALI,VARGAS GUERRA,1.0,0.0,0.0,54.0,1.0,4598.0,3934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.06391125855047272,0.7123364594540809,0.3881238590022768,Very high availability,260,284
130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,4.0,1.0,1.0,61.0,2.0,584.0,532.0,2.0,2.0,0.0,0.0,0.03278688524590164,0.03278688524590164,0.0,0.0,Missing activity values present,0.23682323859095428,0.539261229947132,0.38804223426904316,Very high availability,261,283
160210,LORETO,ALTO AMAZONAS,SANTA CRUZ,7.0,0.0,0.0,22.0,11.0,3021.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.19173377565141816,0.5835353838588766,0.38763457975514737,Very high availability,262,282
100501,HUANUCO,HUAMALIES,LLATA,7.0,1.0,3.0,68.0,6.0,401.0,270.0,10.0,10.0,0.0,0.0,0.14705882352941177,0.14705882352941177,0.0,0.0,Missing activity values present,0.28015966743441967,0.49400166812820345,0.38708066778131156,Very high availability,263,281
050401,AYACUCHO,HUANTA,HUANTA,8.0,1.0,1.0,62.0,2.0,1485.0,60.0,2.0,2.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,Missing activity values present,0.29101978813578877,0.4822437948260519,0.3866317914809203,Very high availability,264,280
180303,MOQUEGUA,ILO,PACOCHA,2.0,1.0,1.0,60.0,1.0,963.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No missing or zero activity values,0.18972283995939515,0.5801532906624256,0.38493806531091035,Very high availability,265,279
050115,AYACUCHO,HUAMANGA,JESUS NAZARENO,4.0,1.0,2.0,91.0,3.0,632.0,402.0,4.0,4.0,0.0,0.0,0.04395604395604396,0.04395604395604396,0.0,0.0,Missing activity values present,0.23682323859095428,0.5302005491111621,0.3835118938510582,Very high availability,266,278
050407,AYACUCHO,HUANTA,SIVIA,8.0,1.0,1.0,49.0,2.0,403.0,174.0,2.0,2.0,0.0,0.0,0.04081632653061224,0.04081632653061224,0.0,0.0,Missing activity values present,0.29101978813578877,0.4749464769574172,0.382983132546603,Very high availability,267,277
040122,AREQUIPA,AREQUIPA,SOCABAYA,13.0,0.0,7.0,58.0,9.0,719.0,296.0,16.0,16.0,0.0,0.0,0.27586206896551724,0.27586206896551724,0.0,0.0,Missing activity values present,0.24333284481703843,0.5220703446545936,0.382701594735816,Very high availability,268,276
